iteration,timestamp,model_type,evaluated_images,iou_threshold,precision,recall,f1_score,mean_iou,map,matching_rate,total_detections,total_ground_truths,total_matched_pairs,unmatched_detections,unmatched_gts,num_classes,classes_perfect_score,classes_zero_score
before_prune_iter_in_0_for_train,2025-07-26 09:16:57,pruned_network,50,0.5,0.7341772151898734,0.7341772151898734,0.7341772151898734,0.5924249448354755,0.6840766034731552,1.0,158,158,158,0,0,47,24,6
before_prune_iter_in_0_for_eval0,2025-07-26 09:17:40,pruned_network,50,0.5,0.6338797814207651,0.6338797814207651,0.6338797814207651,0.5048465392774345,0.6082412812486333,1.0,183,183,183,0,0,44,25,5
before_prune_iter_in_0_for_eval1,2025-07-26 09:18:22,pruned_network,50,0.5,0.6493506493506493,0.6493506493506493,0.6493506493506493,0.5402110604070849,0.6065360421609041,1.0,154,154,154,0,0,39,21,7
layer1.0.conv1_iter_1_training_set,2025-07-26 17:28:00,pruned_network,50,0.5,0.7150837988826816,0.7150837988826816,0.7150837988826816,0.5785426507897882,0.6732451644864472,1.0,179,179,179,0,0,48,23,4
layer1.0.conv1_iter_1_eval_set0,2025-07-26 17:28:00,pruned_network,50,0.5,0.51875,0.51875,0.51875,0.41757047245220014,0.4908986894112753,1.0,160,160,160,0,0,42,19,6
layer1.0.conv1_iter_1_eval_set1,2025-07-26 17:28:00,pruned_network,50,0.5,0.7321428571428571,0.7321428571428571,0.7321428571428571,0.5767897366886204,0.7048459951628966,1.0,168,168,168,0,0,43,20,7
layer1.0.conv2_iter_2_training_set,2025-07-26 20:12:03,pruned_network,50,0.5,0.6987179487179487,0.6987179487179487,0.6987179487179487,0.5403333566586569,0.6106187759915157,1.0,156,156,156,0,0,47,26,9
layer1.0.conv2_iter_2_eval_set0,2025-07-26 20:12:03,pruned_network,50,0.5,0.6234567901234568,0.6234567901234568,0.6234567901234568,0.5169077334514577,0.5907208228434849,1.0,162,162,162,0,0,42,24,6
layer1.0.conv2_iter_2_eval_set1,2025-07-26 20:12:03,pruned_network,50,0.5,0.6462585034013606,0.6462585034013606,0.6462585034013606,0.5035396259873389,0.5690705923094503,1.0,147,147,147,0,0,37,17,8
layer1.1.conv1_iter_4_training_set,2025-07-27 06:53:05,pruned_network,50,0.5,0.7887323943661971,0.7887323943661971,0.7887323943661971,0.616493276834475,0.6972274569750024,1.0,142,142,142,0,0,50,27,6
layer1.1.conv1_iter_4_eval_set0,2025-07-27 06:53:50,pruned_network,50,0.5,0.743421052631579,0.743421052631579,0.7434210526315789,0.5687536535861157,0.6591295266725421,1.0,152,152,152,0,0,40,20,3
layer1.1.conv1_iter_4_eval_set1,2025-07-27 06:54:30,pruned_network,50,0.5,0.6167664670658682,0.6167664670658682,0.6167664670658682,0.49420057246680893,0.5691754736713095,1.0,167,167,167,0,0,38,18,6
layer1.1.conv2_iter_5_training_set,2025-07-27 12:16:40,pruned_network,50,0.5,0.7961783439490446,0.7961783439490446,0.7961783439490446,0.6342595826391152,0.7233334302410094,1.0,157,157,157,0,0,48,27,9
layer1.1.conv2_iter_5_eval_set0,2025-07-27 12:17:27,pruned_network,50,0.5,0.7435897435897436,0.7435897435897436,0.7435897435897437,0.5575336849663728,0.6636557546007056,1.0,156,156,156,0,0,41,20,2
layer1.1.conv2_iter_5_eval_set1,2025-07-27 12:18:08,pruned_network,50,0.5,0.6012658227848101,0.6012658227848101,0.6012658227848101,0.4837137902628264,0.5530270999194418,1.0,158,158,158,0,0,39,18,6
layer1.2.conv1_iter_5_training_set,2025-07-27 22:00:47,pruned_network,50,0.5,0.689873417721519,0.689873417721519,0.689873417721519,0.5609418749972662,0.6090738107760805,1.0,158,158,158,0,0,49,24,9
layer1.2.conv1_iter_5_eval_set0,2025-07-27 22:00:47,pruned_network,50,0.5,0.6348314606741573,0.6348314606741573,0.6348314606741573,0.5097609645727759,0.5713717200279259,1.0,178,178,178,0,0,41,18,7
layer1.2.conv1_iter_5_eval_set1,2025-07-27 22:00:47,pruned_network,50,0.5,0.6705202312138728,0.6705202312138728,0.6705202312138728,0.5516801878940274,0.6140453773730515,1.0,173,173,173,0,0,38,19,10
layer1.2.conv2_iter_7_training_set,2025-07-28 11:11:33,pruned_network,50,0.5,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.5395601827224643,0.5771728271728271,1.0,144,144,144,0,0,47,22,10
layer1.2.conv2_iter_7_eval_set0,2025-07-28 11:12:17,pruned_network,50,0.5,0.6094674556213018,0.6094674556213018,0.6094674556213018,0.4844834558751751,0.5830796847908113,1.0,169,169,169,0,0,44,22,9
layer1.2.conv2_iter_7_eval_set1,2025-07-28 11:12:57,pruned_network,50,0.5,0.6628571428571428,0.6628571428571428,0.6628571428571428,0.5253949221136321,0.5956425142471654,1.0,175,175,175,0,0,39,17,10
layer2.0.conv1_iter_7_training_set,2025-07-28 13:27:38,pruned_network,50,0.5,0.7241379310344828,0.7241379310344828,0.7241379310344829,0.5660235793896395,0.6795327078652578,1.0,145,145,145,0,0,49,30,6
layer2.0.conv1_iter_7_eval_set0,2025-07-28 13:27:38,pruned_network,50,0.5,0.6987179487179487,0.6987179487179487,0.6987179487179487,0.5445785762221982,0.5627944080732179,1.0,156,156,156,0,0,47,24,7
layer2.0.conv1_iter_7_eval_set1,2025-07-28 13:27:38,pruned_network,50,0.5,0.6687898089171974,0.6687898089171974,0.6687898089171974,0.530749683122653,0.5675836004551849,1.0,157,157,157,0,0,39,16,12
