iteration,timestamp,model_type,evaluated_images,iou_threshold,precision,recall,f1_score,mean_iou,map,matching_rate,total_detections,total_ground_truths,total_matched_pairs,unmatched_detections,unmatched_gts,num_classes,classes_perfect_score,classes_zero_score
before_prune_iter_in_0_for_train,2025-07-20 19:32:46,pruned_network,50,0.5,0.7342657342657343,0.7342657342657343,0.7342657342657343,0.5888061062651955,0.7064953439316767,1.0,143,143,143,0,0,49,28,8
before_prune_iter_in_0_for_eval0,2025-07-20 19:33:48,pruned_network,50,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5203270325249723,0.6244034090909091,1.0,189,189,189,0,0,44,25,5
before_prune_iter_in_0_for_eval1,2025-07-20 19:34:48,pruned_network,50,0.5,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.5397028690870813,0.6097470806504419,1.0,142,142,142,0,0,41,22,8
layer1.0.conv1_iter_300_training_set,2025-07-20 21:40:35,pruned_network,50,0.5,0.6754966887417219,0.6754966887417219,0.6754966887417219,0.5292627928723476,0.5787460549387218,1.0,151,151,151,0,0,46,26,9
layer1.0.conv1_iter_300_eval_set0,2025-07-20 21:41:33,pruned_network,50,0.5,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.5178943153977769,0.5621785776976056,1.0,164,164,164,0,0,46,19,7
layer1.0.conv1_iter_300_eval_set1,2025-07-20 21:42:32,pruned_network,50,0.5,0.503448275862069,0.503448275862069,0.503448275862069,0.42422421777383523,0.4710656407084978,1.0,145,145,145,0,0,41,18,12
layer1.0.conv2_iter_800_training_set,2025-07-21 00:59:08,pruned_network,50,0.5,0.7189189189189189,0.7189189189189189,0.7189189189189189,0.5642933197375198,0.6579866189453315,1.0,185,185,185,0,0,49,21,2
layer1.0.conv2_iter_800_eval_set0,2025-07-21 01:00:13,pruned_network,50,0.5,0.5269461077844312,0.5269461077844312,0.5269461077844312,0.42083134066984396,0.46367105362329675,1.0,167,167,167,0,0,44,18,6
layer1.0.conv2_iter_800_eval_set1,2025-07-21 01:01:15,pruned_network,50,0.5,0.6081081081081081,0.6081081081081081,0.6081081081081081,0.4655057142584664,0.5802292083040747,1.0,148,148,148,0,0,36,15,8
layer1.1.conv1_iter_1100_training_set,2025-07-21 03:07:42,pruned_network,50,0.5,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.5130736387615803,0.5380175798986104,1.0,138,138,138,0,0,45,18,11
layer1.1.conv1_iter_1100_eval_set0,2025-07-21 03:08:49,pruned_network,50,0.5,0.6629213483146067,0.6629213483146067,0.6629213483146067,0.5164806656478439,0.5400845895430875,1.0,178,178,178,0,0,40,16,5
layer1.1.conv1_iter_1100_eval_set1,2025-07-21 03:09:54,pruned_network,50,0.5,0.42,0.42,0.41999999999999993,0.34413015552924686,0.3812265727317889,1.0,150,150,150,0,0,40,12,16
layer1.1.conv2_iter_1600_training_set,2025-07-21 06:48:33,pruned_network,50,0.5,0.69375,0.69375,0.69375,0.5357272796448921,0.5642678658571972,1.0,160,160,160,0,0,48,21,10
layer1.1.conv2_iter_1600_eval_set0,2025-07-21 06:49:54,pruned_network,50,0.5,0.49390243902439024,0.49390243902439024,0.49390243902439024,0.4254208634980608,0.39857700722716416,1.0,164,164,164,0,0,41,15,11
layer1.1.conv2_iter_1600_eval_set1,2025-07-21 06:51:07,pruned_network,50,0.5,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5110009903328594,0.5017352823054249,1.0,168,168,168,0,0,37,15,5
layer1.2.conv1_iter_1900_training_set,2025-07-21 09:05:14,pruned_network,50,0.5,0.5895953757225434,0.5895953757225434,0.5895953757225434,0.4859162278511926,0.4906367979219599,1.0,173,173,173,0,0,47,15,12
layer1.2.conv1_iter_1900_eval_set0,2025-07-21 09:06:33,pruned_network,50,0.5,0.5878787878787879,0.5878787878787879,0.5878787878787879,0.4639501785530711,0.4638802746692655,1.0,165,165,165,0,0,41,13,9
layer1.2.conv1_iter_1900_eval_set1,2025-07-21 09:07:48,pruned_network,50,0.5,0.4766355140186916,0.4766355140186916,0.4766355140186916,0.37820024294575977,0.351700298793466,1.0,214,214,214,0,0,42,12,11
