iteration,timestamp,model_type,evaluated_images,iou_threshold,precision,recall,f1_score,mean_iou,map,matching_rate,total_detections,total_ground_truths,total_matched_pairs,unmatched_detections,unmatched_gts,num_classes,classes_perfect_score,classes_zero_score
before_prune_iter_in_0,2025-07-19 08:56:01,pruned_network,500,0.5,0.7612863327149041,0.7612863327149041,0.7612863327149041,0.6148706921336683,0.7033018204593418,1.0,1617,1617,1617,0,0,330,159,31
layer1.0.conv1_iter_300,2025-07-19 11:03:27,pruned_network,100,0.5,0.6902985074626866,0.6902985074626866,0.6902985074626866,0.5550392133428341,0.5963626314908953,1.0,268,268,268,0,0,91,45,16
layer1.0.conv2_iter_600,2025-07-19 12:57:37,pruned_network,100,0.5,0.6927710843373494,0.6927710843373494,0.6927710843373494,0.549334489937786,0.5725730883636889,1.0,332,332,332,0,0,92,43,13
layer1.1.conv1_iter_900,2025-07-19 14:58:02,pruned_network,100,0.5,0.6531986531986532,0.6531986531986532,0.6531986531986532,0.5122122841670913,0.5697426677905668,1.0,297,297,297,0,0,86,32,20
layer1.1.conv2_iter_1200,2025-07-19 17:05:55,pruned_network,100,0.5,0.5915492957746479,0.5915492957746479,0.5915492957746479,0.4886627793179184,0.4790589857971519,1.0,355,355,355,0,0,91,35,13
layer1.2.conv1_iter_1500,2025-07-19 19:14:58,pruned_network,100,0.5,0.573170731707317,0.573170731707317,0.573170731707317,0.4742876538318963,0.4655194811285147,1.0,328,328,328,0,0,93,37,20
layer1.2.conv2_iter_1800,2025-07-19 21:26:03,pruned_network,100,0.5,0.5848484848484848,0.5848484848484848,0.5848484848484848,0.4705440526042431,0.4849758998294845,1.0,330,330,330,0,0,89,33,23
layer2.0.conv1_iter_2100,2025-07-19 23:28:00,pruned_network,100,0.5,0.40939597315436244,0.40939597315436244,0.40939597315436244,0.3544196335416047,0.3286126818423469,1.0,298,298,298,0,0,93,18,42
layer2.0.conv2_iter_2400,2025-07-20 01:32:07,pruned_network,100,0.5,0.45195729537366547,0.45195729537366547,0.4519572953736654,0.3919731445243142,0.3316406907582674,1.0,281,281,281,0,0,88,19,38
layer2.1.conv1_iter_2700,2025-07-20 03:35:05,pruned_network,100,0.5,0.5616438356164384,0.5616438356164384,0.5616438356164384,0.4476719453573624,0.4641400932833677,1.0,292,292,292,0,0,85,24,27
layer2.1.conv2_iter_3000,2025-07-20 05:38:09,pruned_network,100,0.5,0.4984126984126984,0.4984126984126984,0.4984126984126984,0.41490181909529555,0.3666852947868795,1.0,315,315,315,0,0,96,33,26
layer2.2.conv1_iter_3300,2025-07-20 07:47:46,pruned_network,100,0.5,0.3816793893129771,0.3816793893129771,0.3816793893129771,0.3519848697648084,0.23723776223776222,1.0,262,262,262,0,0,94,25,37
before_prune_iter_in_0,2025-07-20 10:09:42,pruned_network,50,0.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
before_prune_iter_in_0_for_eval0,2025-07-20 10:10:18,pruned_network,50,0.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
before_prune_iter_in_0_for_eval1,2025-07-20 10:10:22,pruned_network,50,0.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
